,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Prdx2,1.27E-280,0.326901361,1,0.993,5.34E-276,14,Prdx2
Htra14,0,0.325772241,0.88,0.316,0,14,Htra1
Ctsl9,7.54E-218,0.325131155,0.989,0.957,3.16E-213,14,Ctsl
Impact6,8.52E-215,0.32397474,1,0.99,3.57E-210,14,Impact
Mgll3,2.52E-86,0.32383071,0.886,0.882,1.06E-81,14,Mgll
Ppp1r24,2.52E-256,0.323550684,0.992,0.937,1.06E-251,14,Ppp1r2
Cntfr2,0,0.323311434,0.923,0.616,0,14,Cntfr
Htr2c1,0,0.322357893,0.633,0.195,0,14,Htr2c
Yars1,4.61E-164,0.321117385,0.971,0.917,1.93E-159,14,Yars
Smim18,5.59E-189,0.320767776,0.914,0.826,2.34E-184,14,Smim18
Dleu75,0,0.319879124,0.921,0.518,0,14,Dleu7
Thsd7a2,1.69E-134,0.319292941,0.611,0.334,7.09E-130,14,Thsd7a
Pclo,5.08E-116,0.318288433,0.997,0.963,2.13E-111,14,Pclo
Sqstm1,3.04E-245,0.317371438,0.999,0.992,1.27E-240,14,Sqstm1
Rgs162,0,0.31725589,0.671,0.238,0,14,Rgs16
Sox2ot5,0,0.316978264,0.869,0.248,0,14,Sox2ot
Npy1r4,4.44E-189,0.316482469,0.805,0.544,1.86E-184,14,Npy1r
Tubb2a2,2.31E-206,0.315973094,0.999,0.992,9.68E-202,14,Tubb2a
1700019L22Rik1,0,0.315798092,0.756,0.142,0,14,1700019L22Rik
Fkbp42,8.50E-234,0.315437744,0.993,0.959,3.56E-229,14,Fkbp4
Fam19a52,3.22E-132,0.315182183,0.901,0.784,1.35E-127,14,Fam19a5
Sulf22,1.00E-171,0.314130463,0.944,0.663,4.19E-167,14,Sulf2
Chac11,3.83E-209,0.314111245,0.803,0.52,1.61E-204,14,Chac1
Ptprm4,0,0.31394256,0.766,0.297,0,14,Ptprm
Timp25,2.30E-144,0.313912213,0.994,0.786,9.64E-140,14,Timp2
Rph3a1,1.39E-223,0.312345313,0.994,0.874,5.81E-219,14,Rph3a
Cacybp,7.32E-280,0.311447255,1,0.981,3.07E-275,14,Cacybp
Clpp4,2.20E-272,0.310368794,0.997,0.975,9.22E-268,14,Clpp
Fam20c1,2.48E-272,0.30965223,0.856,0.54,1.04E-267,14,Fam20c
Syt61,0,0.309533091,0.5,0.129,0,14,Syt6
Clstn33,1.57E-112,0.30880309,0.994,0.929,6.59E-108,14,Clstn3
Gnb42,4.66E-224,0.308543466,0.795,0.457,1.96E-219,14,Gnb4
Ndfip11,0,0.307630539,1,0.996,0,14,Ndfip1
Btbd113,0,0.307227857,0.839,0.239,0,14,Btbd11
Hspa91,1.55E-137,0.305707983,0.989,0.952,6.48E-133,14,Hspa9
Agpat42,2.58E-162,0.304409292,0.98,0.872,1.08E-157,14,Agpat4
Cct8,1.49E-236,0.30427928,1,0.982,6.23E-232,14,Cct8
Slc32a15,0,0.304104031,0.994,0.292,0,14,Slc32a1
1500011B03Rik,3.09E-277,0.302686536,1,0.976,1.29E-272,14,1500011B03Rik
Cct3,1.27E-218,0.302137477,0.996,0.962,5.34E-214,14,Cct3
Zeb24,1.14E-216,0.302041631,0.982,0.818,4.78E-212,14,Zeb2
Syt14,1.70E-167,0.301805902,1,0.977,7.11E-163,14,Syt1
Laptm4b2,2.37E-128,0.301148461,0.96,0.883,9.93E-124,14,Laptm4b
Gaa5,1.63E-132,0.29963318,0.997,0.933,6.82E-128,14,Gaa
Nap1l33,1.99E-199,0.299241731,0.975,0.879,8.32E-195,14,Nap1l3
Brinp32,2.40E-161,0.299042649,0.836,0.534,1.01E-156,14,Brinp3
Kirrel31,8.41E-110,0.299040423,0.64,0.426,3.52E-105,14,Kirrel3
Dlx22,0,0.298547818,0.886,0.215,0,14,Dlx2
Zmat42,2.82E-44,0.29804767,0.692,0.644,1.18E-39,14,Zmat4
Prox14,0,0.295636369,0.635,0.174,0,14,Prox1
Mtss12,0,0.295308118,0.957,0.457,0,14,Mtss1
Sf3b62,4.48E-259,0.295174586,0.999,0.986,1.88E-254,14,Sf3b6
Inafm13,1.30E-253,0.295148849,0.963,0.784,5.46E-249,14,Inafm1
Tceal13,1.53E-226,0.294367744,0.995,0.934,6.40E-222,14,Tceal1
Dnajb4,5.98E-179,0.293412656,0.983,0.931,2.51E-174,14,Dnajb4
Nr3c22,0,0.290801159,0.97,0.611,0,14,Nr3c2
Ttc33,7.52E-214,0.289970908,0.987,0.924,3.15E-209,14,Ttc33
Fam174a4,6.43E-171,0.289896639,0.995,0.962,2.70E-166,14,Fam174a
2900055J20Rik1,2.94E-131,0.28916287,0.991,0.869,1.23E-126,14,2900055J20Rik
Pde5a2,0,0.287683055,0.624,0.136,0,14,Pde5a
Dhx32,1.27E-161,0.28692841,0.791,0.559,5.34E-157,14,Dhx32
Tmem176a4,0,0.286852444,0.456,0.054,0,14,Tmem176a
Tspan123,0,0.286146515,0.767,0.316,0,14,Tspan12
Lsamp3,9.17E-119,0.285761934,0.969,0.899,3.85E-114,14,Lsamp
Psme16,1.91E-223,0.285747395,0.99,0.887,8.02E-219,14,Psme1
Pdxk2,2.32E-204,0.28458653,0.976,0.851,9.74E-200,14,Pdxk
Slc38a15,4.75E-164,0.283866856,0.983,0.895,1.99E-159,14,Slc38a1
Chl13,3.50E-138,0.283561486,0.979,0.894,1.47E-133,14,Chl1
Tmem29,4.18E-235,0.283016061,0.918,0.721,1.75E-230,14,Tmem29
Mars,1.28E-145,0.282922035,0.943,0.829,5.38E-141,14,Mars
Cct4,8.70E-191,0.282802317,0.994,0.959,3.65E-186,14,Cct4
Pbx31,1.41E-193,0.282622146,0.339,0.111,5.91E-189,14,Pbx3
Plekhb21,3.13E-105,0.282531464,0.959,0.874,1.31E-100,14,Plekhb2
Slc35f11,6.90E-217,0.280648808,0.954,0.697,2.89E-212,14,Slc35f1
3-Mar,0,0.2803138,0.635,0.159,0,14,3-Mar
Cpne72,6.42E-170,0.279984238,0.737,0.4,2.69E-165,14,Cpne7
Bex43,4.33E-251,0.278515849,0.994,0.925,1.82E-246,14,Bex4
Slc44a52,0,0.277596076,0.788,0.221,0,14,Slc44a5
Pax61,0,0.277286925,0.459,0.131,0,14,Pax6
Tmem652,1.28E-132,0.276833879,0.948,0.826,5.37E-128,14,Tmem65
Tcerg1l2,0,0.276376352,0.634,0.216,0,14,Tcerg1l
Aars2,1.13E-115,0.276150929,0.964,0.873,4.72E-111,14,Aars
Col14a1,0,0.275656664,0.43,0.021,0,14,Col14a1
Mageh12,1.02E-192,0.275533559,0.957,0.82,4.26E-188,14,Mageh1
Trim622,0,0.274783414,0.761,0.353,0,14,Trim62
Lgals84,1.72E-279,0.274748121,0.845,0.473,7.23E-275,14,Lgals8
Magee1,3.57E-156,0.274265369,0.989,0.935,1.50E-151,14,Magee1
Wbp52,8.04E-168,0.273006109,1,0.985,3.37E-163,14,Wbp5
Eef1e13,1.28E-232,0.272878618,0.991,0.934,5.37E-228,14,Eef1e1
Maoa2,2.63E-220,0.272035401,0.83,0.538,1.10E-215,14,Maoa
Msantd4,2.11E-134,0.270676293,0.953,0.877,8.83E-130,14,Msantd4
Fam65b1,1.30E-211,0.269127645,0.907,0.653,5.45E-207,14,Fam65b
Gabra21,1.45E-137,0.269058036,0.876,0.668,6.08E-133,14,Gabra2
Cntnap41,5.37E-232,0.268768741,0.697,0.331,2.25E-227,14,Cntnap4
Asic42,0,0.268248789,0.627,0.142,0,14,Asic4
Snx101,7.54E-133,0.267826825,0.996,0.948,3.16E-128,14,Snx10
Nudt111,2.81E-212,0.267743405,0.864,0.625,1.18E-207,14,Nudt11
Isca21,3.06E-224,0.267641481,0.995,0.962,1.28E-219,14,Isca2
Wdr62,5.70E-149,0.267396379,0.947,0.784,2.39E-144,14,Wdr6
Ctnnd23,4.09E-144,0.267110807,0.997,0.964,1.71E-139,14,Ctnnd2
Snx32,1.03E-194,0.267006257,0.989,0.946,4.32E-190,14,Snx32
Nr2f11,2.65E-175,0.266959915,0.959,0.79,1.11E-170,14,Nr2f1
Sv2a3,8.47E-133,0.265899407,0.997,0.949,3.55E-128,14,Sv2a
Nt5dc22,3.08E-184,0.265868721,0.42,0.154,1.29E-179,14,Nt5dc2
Chrna7,0,0.265677777,0.578,0.176,0,14,Chrna7
Tubb2b2,0,0.264708336,0.921,0.528,0,14,Tubb2b
Usp294,1.58E-271,0.264118805,0.985,0.815,6.63E-267,14,Usp29
Sp81,0,0.263443328,0.862,0.066,0,14,Sp8
Spcs21,3.24E-231,0.263193902,0.998,0.984,1.36E-226,14,Spcs2
Spock21,1.48E-212,0.263166647,0.999,0.959,6.22E-208,14,Spock2
Ubl32,7.49E-89,0.262814581,0.992,0.977,3.14E-84,14,Ubl3
Atxn10,1.06E-180,0.262464014,0.999,0.984,4.43E-176,14,Atxn10
Scrn1,7.77E-171,0.260860598,0.944,0.845,3.26E-166,14,Scrn1
Rasgrp27,0,0.260760694,0.907,0.324,0,14,Rasgrp2
Gabarap4,1.45E-215,0.259900261,0.999,0.995,6.09E-211,14,Gabarap
Fgf111,0,0.259752814,0.865,0.324,0,14,Fgf11
Kcnd31,1.29E-204,0.259563283,0.884,0.619,5.39E-200,14,Kcnd3
Cbln22,1.20E-126,0.259130555,0.722,0.452,5.03E-122,14,Cbln2
Rps4l3,1.15E-159,0.258982298,0.875,0.576,4.81E-155,14,Rps4l
Ftl18,8.81E-253,0.258572889,1,0.997,3.69E-248,14,Ftl1
Cacnb21,1.80E-131,0.258515415,0.86,0.697,7.53E-127,14,Cacnb2
1810037I17Rik2,3.90E-183,0.258251387,1,0.988,1.63E-178,14,1810037I17Rik
Pts2,7.68E-157,0.257999688,0.9,0.737,3.22E-152,14,Pts
Hdac6,5.38E-150,0.257970434,0.735,0.495,2.25E-145,14,Hdac6
Paip23,3.60E-205,0.257831271,0.999,0.987,1.51E-200,14,Paip2
Dda1,2.38E-231,0.25726334,0.994,0.962,1.00E-226,14,Dda1
Adh52,9.29E-186,0.25698492,0.966,0.893,3.89E-181,14,Adh5
Pacrg2,3.18E-252,0.256952634,0.881,0.622,1.33E-247,14,Pacrg
Arnt23,6.57E-129,0.256352651,0.938,0.836,2.75E-124,14,Arnt2
Cars1,1.50E-140,0.255314568,0.921,0.786,6.29E-136,14,Cars
2700094K13Rik1,1.43E-261,0.255286469,0.993,0.883,6.01E-257,14,2700094K13Rik
Trim35,1.50E-124,0.255046073,0.981,0.925,6.29E-120,14,Trim35
BC0305004,0,0.254882201,0.879,0.437,0,14,BC030500
Tkt2,1.85E-162,0.254157289,0.963,0.895,7.73E-158,14,Tkt
Lix11,9.38E-203,0.25371944,0.856,0.574,3.93E-198,14,Lix1
Tram1l11,3.00E-159,0.253544169,0.96,0.853,1.26E-154,14,Tram1l1
Ppa1,4.24E-135,0.25297545,0.996,0.964,1.78E-130,14,Ppa1
Atp6v1b2,1.02E-111,0.251668946,0.999,0.983,4.29E-107,14,Atp6v1b2
Sfr1,2.20E-147,0.25130532,0.997,0.977,9.21E-143,14,Sfr1
Vbp12,7.65E-184,0.250906171,0.999,0.981,3.21E-179,14,Vbp1
Apc1,6.93E-124,0.250323993,0.98,0.919,2.91E-119,14,Apc
,,,,,,,
Serpini13,3.26E-07,0.551877256,0.978,0.936,0.013664213,14,Serpini1
2-Nov,0.001017253,0.639914285,0.457,0.559,1,14,Nov
,,,,,,,
Penk3,0,2.554866767,0.857,0.307,0,15,Penk
Calb23,0,2.261959078,0.779,0.121,0,15,Calb2
Crh4,0,1.831630262,0.76,0.15,0,15,Crh
Qpct6,0,1.536106988,0.96,0.514,0,15,Qpct
Cxcl145,0,1.482195021,0.909,0.185,0,15,Cxcl14
Htr3a3,0,1.442571329,0.691,0.101,0,15,Htr3a
Cnr14,0,1.327843248,0.986,0.714,0,15,Cnr1
Rgs123,0,1.305856684,0.945,0.228,0,15,Rgs12
Zcchc126,0,1.30212394,0.986,0.492,0,15,Zcchc12
Npas15,0,1.226192109,0.931,0.173,0,15,Npas1
Synpr6,0,1.224866283,0.957,0.527,0,15,Synpr
Gad27,0,1.208807534,0.978,0.326,0,15,Gad2
Nap1l56,0,1.162281701,0.978,0.98,0,15,Nap1l5
Sema3c4,0,1.137658144,0.695,0.217,0,15,Sema3c
Ap1s24,0,1.113150749,0.988,0.771,0,15,Ap1s2
Nr2f26,0,1.088555981,0.982,0.282,0,15,Nr2f2
Dlx6os14,0,1.087560942,0.945,0.272,0,15,Dlx6os1
Gad17,0,1.052501022,0.98,0.386,0,15,Gad1
Parm12,0,1.040824609,0.794,0.359,0,15,Parm1
Tac23,0,1.005738803,0.507,0.139,0,15,Tac2
Rpp256,0,0.996553278,0.969,0.509,0,15,Rpp25
Thsd7a3,0,0.967383007,0.888,0.33,0,15,Thsd7a
Vstm2a5,0,0.957078277,0.992,0.917,0,15,Vstm2a
Dlx14,0,0.955547471,0.96,0.281,0,15,Dlx1
Adarb24,0,0.939738027,0.964,0.214,0,15,Adarb2
Rgs106,0,0.933687387,0.92,0.552,0,15,Rgs10
Fxyd64,0,0.929681216,0.988,0.774,0,15,Fxyd6
Fam213a1,0,0.920184002,0.977,0.936,0,15,Fam213a
Tmem1307,0,0.911855751,0.983,0.934,0,15,Tmem130
Rab3c6,0,0.903790331,0.98,0.924,0,15,Rab3c
Klhl135,0,0.88820077,0.834,0.304,0,15,Klhl13
Reln3,0,0.873801953,0.709,0.235,0,15,Reln
Sgk16,5.06E-200,0.834740432,0.833,0.689,2.12E-195,15,Sgk1
Kcnc23,0,0.833962745,0.931,0.584,0,15,Kcnc2
Pcdh183,0,0.830851313,0.691,0.159,0,15,Pcdh18
Sox2ot6,0,0.828190855,0.899,0.249,0,15,Sox2ot
Igf15,0,0.822295346,0.853,0.281,0,15,Igf1
Nfib3,6.31E-226,0.793187105,0.94,0.803,2.64E-221,15,Nfib
Grin3a3,0,0.77615484,0.72,0.3,0,15,Grin3a
Zbtb207,0,0.768439885,0.786,0.306,0,15,Zbtb20
Sh3bgrl7,5.94E-261,0.767368232,0.957,0.863,2.49E-256,15,Sh3bgrl
Gprasp26,0,0.736440606,0.967,0.9,0,15,Gprasp2
Adcy22,6.59E-231,0.725483081,0.921,0.82,2.76E-226,15,Adcy2
Tmem176b8,0,0.724938553,0.453,0.096,0,15,Tmem176b
Bex17,0,0.721671006,0.996,0.965,0,15,Bex1
Zmat43,2.75E-237,0.691736372,0.901,0.641,1.15E-232,15,Zmat4
Erbb45,0,0.67140287,0.938,0.273,0,15,Erbb4
Cntnap5c1,0,0.668529015,0.903,0.335,0,15,Cntnap5c
Akap74,4.16E-257,0.652809147,0.907,0.787,1.75E-252,15,Akap7
H3f3b8,0,0.64756473,0.999,0.997,0,15,H3f3b
Nrxn34,0,0.645457647,0.976,0.919,0,15,Nrxn3
Tmem196,2.47E-287,0.643795741,0.833,0.472,1.03E-282,15,Tmem196
Gprasp14,0,0.642531286,0.996,0.97,0,15,Gprasp1
Npas35,0,0.634833891,0.922,0.265,0,15,Npas3
Fstl54,0,0.63455065,0.811,0.383,0,15,Fstl5
Prmt24,1.88E-293,0.634133949,0.944,0.862,7.89E-289,15,Prmt2
Pafah1b34,0,0.633332732,0.961,0.721,0,15,Pafah1b3
Npy1r5,1.41E-218,0.628455911,0.813,0.545,5.91E-214,15,Npy1r
Dync1i11,1.05E-244,0.627900811,0.988,0.947,4.42E-240,15,Dync1i1
Ctxn22,0,0.626865213,0.946,0.803,0,15,Ctxn2
Rbms38,0,0.623208795,0.92,0.507,0,15,Rbms3
Wsb13,5.55E-188,0.621534722,0.97,0.957,2.33E-183,15,Wsb1
Camk1g2,2.14E-217,0.620953038,0.836,0.578,8.98E-213,15,Camk1g
Rnpc34,3.07E-233,0.617992643,0.96,0.92,1.29E-228,15,Rnpc3
Brinp33,1.62E-261,0.614939151,0.867,0.535,6.78E-257,15,Brinp3
Podxl26,1.25E-301,0.601211752,0.979,0.941,5.24E-297,15,Podxl2
Socs52,1.36E-202,0.578972721,0.902,0.843,5.71E-198,15,Socs5
Impact7,1.22E-306,0.572394183,1,0.99,5.12E-302,15,Impact
Timp35,0,0.565347788,0.543,0.137,0,15,Timp3
Cpne24,0,0.56167646,0.781,0.234,0,15,Cpne2
Pnoc5,0,0.559513517,0.673,0.192,0,15,Pnoc
Scg26,2.17E-80,0.558122919,0.951,0.919,9.11E-76,15,Scg2
Marcksl14,1.37E-282,0.557520964,0.945,0.58,5.73E-278,15,Marcksl1
Tcf45,1.94E-307,0.555276211,0.998,0.983,8.12E-303,15,Tcf4
Pantr12,3.65E-215,0.550705658,0.949,0.769,1.53E-210,15,Pantr1
Dner4,8.57E-204,0.544125856,0.947,0.731,3.59E-199,15,Dner
Tceal14,0,0.541562564,0.974,0.935,0,15,Tceal1
A330102I10Rik,0,0.54017153,0.838,0.513,0,15,A330102I10Rik
Lppr34,4.04E-264,0.538753794,0.898,0.64,1.69E-259,15,Lppr3
Zcchc184,0,0.530664778,0.995,0.982,0,15,Zcchc18
Pnck5,2.85E-252,0.525179348,0.975,0.883,1.20E-247,15,Pnck
Reep53,0,0.521924549,0.991,0.987,0,15,Reep5
Thsd7b,0,0.52134448,0.677,0.177,0,15,Thsd7b
Chl14,5.19E-196,0.515984837,0.967,0.895,2.17E-191,15,Chl1
Slc7a141,2.61E-125,0.515388872,0.843,0.735,1.09E-120,15,Slc7a14
Pcsk1n4,0,0.51350218,1,0.986,0,15,Pcsk1n
Egfem12,2.54E-252,0.512457911,0.688,0.344,1.07E-247,15,Egfem1
6430548M08Rik3,7.26E-184,0.511603448,0.938,0.827,3.04E-179,15,6430548M08Rik
Vstm2l3,1.29E-306,0.505950307,0.971,0.796,5.40E-302,15,Vstm2l
Inpp5f5,5.76E-234,0.503116047,0.964,0.889,2.41E-229,15,Inpp5f
A730017C20Rik2,2.30E-195,0.502551633,0.892,0.797,9.62E-191,15,A730017C20Rik
Araf7,0,0.501242146,0.995,0.987,0,15,Araf
Galnt144,3.47E-158,0.500705581,0.768,0.492,1.45E-153,15,Galnt14
Pnmal21,6.08E-265,0.499167847,0.981,0.942,2.55E-260,15,Pnmal2
Cbln23,2.28E-83,0.495625667,0.63,0.455,9.54E-79,15,Cbln2
Necab23,5.29E-102,0.495393797,0.667,0.44,2.22E-97,15,Necab2
Dusp263,1.06E-240,0.488946448,0.95,0.866,4.45E-236,15,Dusp26
Pik3r1,2.24E-66,0.482872148,0.904,0.882,9.40E-62,15,Pik3r1
Csmd32,6.22E-117,0.48127815,0.869,0.774,2.61E-112,15,Csmd3
Cpne73,5.68E-187,0.480335068,0.735,0.402,2.38E-182,15,Cpne7
Gm142047,0,0.474708232,0.773,0.256,0,15,Gm14204
Ndufa112,0,0.468231916,0.997,0.995,0,15,Ndufa11
Psme17,6.60E-271,0.468101692,0.948,0.888,2.76E-266,15,Psme1
Ly6h4,0,0.467947345,0.998,0.962,0,15,Ly6h
Inafm14,4.56E-257,0.466627143,0.895,0.786,1.91E-252,15,Inafm1
Nap1l34,4.34E-183,0.465419336,0.922,0.88,1.82E-178,15,Nap1l3
Ncam15,8.96E-214,0.465391787,0.994,0.983,3.76E-209,15,Ncam1
Nrtn1,0,0.464722172,0.741,0.17,0,15,Nrtn
Maged27,9.88E-140,0.463863906,0.81,0.718,4.14E-135,15,Maged2
A730020E08Rik,1.74E-227,0.461156178,0.667,0.381,7.27E-223,15,A730020E08Rik
Selm4,4.11E-286,0.458912821,0.992,0.988,1.72E-281,15,Selm
Nr2e12,0,0.456991504,0.669,0.087,0,15,Nr2e1
Gng22,1.24E-214,0.456380072,0.976,0.952,5.22E-210,15,Gng2
AW5519842,0,0.45575768,0.452,0.08,0,15,AW551984
Hint14,0,0.454981593,0.999,0.995,0,15,Hint1
Csdc25,6.60E-147,0.451468021,0.903,0.818,2.76E-142,15,Csdc2
Pgrmc13,2.40E-286,0.451424324,0.991,0.983,1.01E-281,15,Pgrmc1
Timp26,5.35E-143,0.450759134,0.959,0.787,2.24E-138,15,Timp2
Adcyap1r13,1.35E-147,0.450747952,0.854,0.642,5.64E-143,15,Adcyap1r1
Rcn26,2.66E-249,0.450662531,0.978,0.971,1.12E-244,15,Rcn2
Enho5,4.24E-221,0.449826792,0.911,0.841,1.78E-216,15,Enho
Tspan62,3.71E-157,0.448988036,0.816,0.643,1.55E-152,15,Tspan6
Tnfaip8l32,1.40E-244,0.448042447,0.501,0.171,5.87E-240,15,Tnfaip8l3
Rragb6,1.68E-163,0.447987942,0.933,0.91,7.03E-159,15,Rragb
Pde9a1,1.03E-211,0.447656607,0.693,0.374,4.34E-207,15,Pde9a
Resp187,1.57E-182,0.447152548,0.96,0.883,6.59E-178,15,Resp18
Ache6,6.23E-134,0.445728851,0.851,0.74,2.61E-129,15,Ache
Slc6a110,0,0.445672051,0.98,0.368,0,15,Slc6a1
Tph2,0,0.438694813,0.386,0.067,0,15,Tph2
Pcp4l18,7.41E-257,0.438507295,0.854,0.387,3.11E-252,15,Pcp4l1
Pcbd14,3.62E-209,0.434870344,0.665,0.355,1.52E-204,15,Pcbd1
Sccpdh3,2.76E-185,0.434228811,0.929,0.849,1.16E-180,15,Sccpdh
Cd2003,1.37E-164,0.433811522,0.972,0.947,5.74E-160,15,Cd200
Asic43,0,0.427852211,0.733,0.142,0,15,Asic4
Sorcs33,1.03E-139,0.427663112,0.792,0.533,4.33E-135,15,Sorcs3
Mpdz1,3.26E-48,0.426777159,0.655,0.604,1.36E-43,15,Mpdz
Rgs163,0,0.424066802,0.664,0.24,0,15,Rgs16
Nrg3,6.58E-101,0.42368127,0.827,0.768,2.76E-96,15,Nrg3
Arl4c5,0,0.423519365,0.908,0.466,0,15,Arl4c
2700094K13Rik2,5.61E-290,0.42258056,0.955,0.884,2.35E-285,15,2700094K13Rik
Nbea2,7.26E-92,0.422578627,0.936,0.925,3.05E-87,15,Nbea
Morf4l21,1.45E-304,0.4221853,0.995,0.984,6.09E-300,15,Morf4l2
Gaa6,1.21E-115,0.421528447,0.981,0.934,5.08E-111,15,Gaa
Dlx23,0,0.418187238,0.791,0.219,0,15,Dlx2
Dlx1as4,0,0.417756154,0.909,0.27,0,15,Dlx1as
Snhg112,4.68E-153,0.417278958,1,0.975,1.96E-148,15,Snhg11
Bex44,0,0.414753699,0.985,0.925,0,15,Bex4
Arxes24,1.20E-203,0.412167611,0.948,0.949,5.02E-199,15,Arxes2
Gas53,3.37E-217,0.409777997,0.998,0.992,1.41E-212,15,Gas5
Prox15,3.23E-298,0.409147409,0.574,0.177,1.35E-293,15,Prox1
Tro1,1.10E-139,0.408357238,0.978,0.94,4.59E-135,15,Tro
Abat6,9.28E-167,0.40819745,0.895,0.65,3.89E-162,15,Abat
Cited25,2.13E-236,0.402558271,0.972,0.86,8.94E-232,15,Cited2
Elmod14,3.75E-158,0.402202885,0.988,0.964,1.57E-153,15,Elmod1
Ndn3,5.32E-08,0.402152264,0.633,0.797,0.002231456,15,Ndn
Hpcal12,3.73E-50,0.400573167,0.647,0.537,1.56E-45,15,Hpcal1
2610001J05Rik3,7.35E-144,0.40051282,0.944,0.944,3.08E-139,15,2610001J05Rik
Pcdh172,9.00E-118,0.400252628,0.923,0.801,3.77E-113,15,Pcdh17
Frmpd3,5.20E-191,0.400173643,0.648,0.352,2.18E-186,15,Frmpd3
Pcdh71,4.37E-82,0.399981434,0.901,0.808,1.83E-77,15,Pcdh7
Ogt4,1.61E-89,0.398215152,0.992,0.991,6.74E-85,15,Ogt
Tspyl47,4.51E-168,0.397132143,0.992,0.976,1.89E-163,15,Tspyl4
Bcar33,1.71E-59,0.396850355,0.399,0.253,7.19E-55,15,Bcar3
Ablim13,2.23E-93,0.396670131,0.861,0.793,9.36E-89,15,Ablim1
Grip12,5.92E-212,0.394832295,0.852,0.576,2.48E-207,15,Grip1
Hap11,1.16E-158,0.394283176,0.778,0.556,4.87E-154,15,Hap1
Dnm36,3.91E-147,0.394024156,0.975,0.929,1.64E-142,15,Dnm3
Paip24,6.60E-255,0.392993864,0.988,0.987,2.76E-250,15,Paip2
Fdps1,1.49E-116,0.390302849,0.946,0.94,6.25E-112,15,Fdps
Amy13,2.98E-185,0.389559112,0.722,0.447,1.25E-180,15,Amy1
Srrm42,4.39E-119,0.387747348,0.86,0.833,1.84E-114,15,Srrm4
Coq72,6.93E-203,0.387737049,0.944,0.94,2.91E-198,15,Coq7
Nr2f12,8.54E-162,0.38734212,0.897,0.792,3.58E-157,15,Nr2f1
Clpp5,2.65E-224,0.386164028,0.98,0.975,1.11E-219,15,Clpp
Bmper,9.87E-196,0.385132969,0.512,0.211,4.14E-191,15,Bmper
2210013O21Rik1,4.83E-188,0.38463936,0.97,0.951,2.02E-183,15,2210013O21Rik
Npy2r2,6.12E-187,0.383631154,0.381,0.118,2.57E-182,15,Npy2r
Sstr12,1.25E-145,0.383596625,0.63,0.391,5.26E-141,15,Sstr1
Wnt5a4,0,0.382722746,0.57,0.114,0,15,Wnt5a
Cib21,1.20E-208,0.381170891,0.926,0.788,5.02E-204,15,Cib2
Atat13,1.09E-133,0.380563542,0.92,0.895,4.59E-129,15,Atat1
Scoc6,1.39E-255,0.380235669,0.995,0.985,5.81E-251,15,Scoc
Rps276,0,0.379960008,1,0.995,0,15,Rps27
Alg25,4.31E-113,0.379642442,0.929,0.92,1.80E-108,15,Alg2
A330076H08Rik4,2.17E-91,0.378820081,0.919,0.845,9.08E-87,15,A330076H08Rik
Btbd114,0,0.378558578,0.699,0.243,0,15,Btbd11
Grm81,3.08E-75,0.378344007,0.577,0.412,1.29E-70,15,Grm8
Hccs,1.59E-79,0.378267015,0.759,0.7,6.67E-75,15,Hccs
Ccser1,3.24E-81,0.377903259,0.57,0.383,1.36E-76,15,Ccser1
Cadps21,6.44E-55,0.37647647,0.623,0.474,2.70E-50,15,Cadps2
Snx34,2.23E-281,0.376095823,0.994,0.995,9.35E-277,15,Snx3
Atp1b310,7.68E-139,0.375938939,0.915,0.929,3.22E-134,15,Atp1b3
Rev3l3,1.75E-82,0.374989121,0.757,0.654,7.34E-78,15,Rev3l
Gm16732,0,0.373731264,0.997,0.975,0,15,Gm1673
Clstn21,1.85E-41,0.370721281,0.765,0.735,7.74E-37,15,Clstn2
Tspyl23,6.00E-105,0.370312787,0.886,0.863,2.51E-100,15,Tspyl2
Dlx55,0,0.369347492,0.783,0.269,0,15,Dlx5
Wdr63,3.07E-83,0.368668121,0.866,0.786,1.29E-78,15,Wdr6
Igsf32,3.13E-256,0.367717555,0.816,0.455,1.31E-251,15,Igsf3
Nenf1,8.80E-239,0.365342197,0.989,0.98,3.69E-234,15,Nenf
Meg32,2.28E-103,0.364398523,0.999,0.982,9.57E-99,15,Meg3
Tubb2a3,2.34E-212,0.363931906,0.998,0.992,9.82E-208,15,Tubb2a
Lrpap11,3.43E-204,0.361968192,0.987,0.98,1.44E-199,15,Lrpap1
Grik23,1.96E-70,0.361404107,0.813,0.75,8.23E-66,15,Grik2
Mrps62,6.74E-190,0.3605127,0.957,0.946,2.82E-185,15,Mrps6
Plxdc24,1.23E-79,0.360331408,0.592,0.409,5.15E-75,15,Plxdc2
Elavl41,2.00E-104,0.358591199,0.974,0.932,8.40E-100,15,Elavl4
Fhl16,3.63E-98,0.358579232,0.851,0.701,1.52E-93,15,Fhl1
Wbp53,1.63E-188,0.356422868,0.998,0.985,6.84E-184,15,Wbp5
Ahi13,1.66E-122,0.354818733,0.992,0.979,6.97E-118,15,Ahi1
Ccdc1071,7.77E-198,0.354049169,0.936,0.928,3.26E-193,15,Ccdc107
Creg16,1.09E-125,0.35349699,0.817,0.752,4.56E-121,15,Creg1
Kcnc13,9.58E-175,0.352994493,0.946,0.793,4.01E-170,15,Kcnc1
